row_id,attribute,task,feature,r,candidate,side,actor_uid,attr_value,per_actor_F,per_clip_F,n_frames,g1_csv
weight_jogging_turning_ankle_rom,weight,"jogging, turning",ankle_rom,-0.36526356807974225,gap,high,A018,45.0,81.20772933959961,81.20772933959961,8683,g1/csv/220705/Turn_Start_Jog_0360_001__A018.csv
weight_jogging_turning_ankle_rom,weight,"jogging, turning",ankle_rom,-0.36526356807974225,gap,low,A055,77.0,39.52326965332031,39.52326965332031,712,g1/csv/221012/turn_jog_360_001__A055.csv
weight_dancing_elbow_rom,weight,dancing,elbow_rom,-0.27378605670291983,extreme,high,A464,52.0,129.77445602416992,129.77445602416992,799,g1/csv/231006/dance_party_hips_003__A464.csv
weight_dancing_elbow_rom,weight,dancing,elbow_rom,-0.27378605670291983,extreme,low,A467,75.0,21.839448928833008,21.839448928833008,769,g1/csv/231006/dance_party_hips_003__A467.csv
weight_dancing_elbow_rom,weight,dancing,elbow_rom,-0.27378605670291983,gap,high,A317,59.0,141.67572021484375,141.67572021484375,1695,g1/csv/230413/dancing_routine_V001_003__A317.csv
weight_dancing_elbow_rom,weight,dancing,elbow_rom,-0.27378605670291983,gap,low,A055,77.0,8.908191680908203,8.908191680908203,1716,g1/csv/221012/dancing_routine_1_004__A055.csv
weight_jumping_turning_root_translate_peak_vel,weight,"jumping, turning",root_translate_peak_vel,-0.26962273567500483,extreme,high,A021,41.0,242.34483337402344,242.34483337402344,367,g1/csv/220713/turn_jump_0135_001__A021.csv
weight_jumping_turning_root_translate_peak_vel,weight,"jumping, turning",root_translate_peak_vel,-0.26962273567500483,extreme,low,A025,102.0,157.3328094482422,157.3328094482422,855,g1/csv/220714/turn_jump_0135_002__A025.csv
weight_jumping_turning_root_translate_peak_vel,weight,"jumping, turning",root_translate_peak_vel,-0.26962273567500483,gap,high,A029,41.0,224.25164794921875,224.25164794921875,485,g1/csv/220720/turn_jump_045_003__A029.csv
weight_jumping_turning_root_translate_peak_vel,weight,"jumping, turning",root_translate_peak_vel,-0.26962273567500483,gap,low,A041,65.0,76.94231414794922,76.94231414794922,692,g1/csv/220728/turn_jump_045_001__A041.csv
weight_walking_turning_root_rotate_mean_vel,weight,"walking, turning",root_rotate_mean_vel,-0.20351193422854386,extreme,high,A516,61.0,136.98313903808594,136.98313903808594,571,g1/csv/231116/crutch_turn_walk_270_R_fast_001__A516.csv
weight_walking_turning_root_rotate_mean_vel,weight,"walking, turning",root_rotate_mean_vel,-0.20351193422854386,extreme,low,A519,82.0,74.07530975341797,74.07530975341797,565,g1/csv/231116/crutch_turn_walk_270_R_fast_001__A519.csv
weight_walking_turning_root_rotate_mean_vel,weight,"walking, turning",root_rotate_mean_vel,-0.20351193422854386,gap,high,A061,47.0,603.85107421875,603.85107421875,626,g1/csv/221115/turn_walk_270_006__A061.csv
weight_walking_turning_root_rotate_mean_vel,weight,"walking, turning",root_rotate_mean_vel,-0.20351193422854386,gap,low,A055,77.0,28.02690315246582,28.02690315246582,932,g1/csv/221012/turn_walk_270_002__A055.csv
weight_standing_wrist_mean_vel,weight,standing,wrist_mean_vel,-0.1846662718675674,extreme,high,A492,62.0,364.46409606933594,364.46409606933594,1008,g1/csv/231024/rage_001__A492.csv
weight_standing_wrist_mean_vel,weight,standing,wrist_mean_vel,-0.1846662718675674,extreme,low,A494,83.0,130.5099105834961,130.5099105834961,1008,g1/csv/231024/rage_001__A494.csv
weight_standing_wrist_mean_vel,weight,standing,wrist_mean_vel,-0.1846662718675674,gap,high,A492,62.0,364.46409606933594,364.46409606933594,1008,g1/csv/231024/rage_001__A492.csv
weight_standing_wrist_mean_vel,weight,standing,wrist_mean_vel,-0.1846662718675674,gap,low,A494,83.0,130.5099105834961,130.5099105834961,1008,g1/csv/231024/rage_001__A494.csv
weight_jumping_ankle_peak_vel,weight,jumping,ankle_peak_vel,-0.17779227015318871,extreme,high,A432,55.0,1106.3500366210938,1106.3500366210938,614,g1/csv/230713/jump_for_joy_R_002__A432.csv
weight_jumping_ankle_peak_vel,weight,jumping,ankle_peak_vel,-0.17779227015318871,extreme,low,A431,132.0,452.9578552246094,452.9578552246094,738,g1/csv/230713/jump_for_joy_R_001__A431.csv
weight_jumping_ankle_peak_vel,weight,jumping,ankle_peak_vel,-0.17779227015318871,gap,high,A374,72.0,1496.449951171875,1496.449951171875,385,g1/csv/230517/reach_jump_R_003__A374.csv
weight_jumping_ankle_peak_vel,weight,jumping,ankle_peak_vel,-0.17779227015318871,gap,low,A079,87.0,213.00057983398438,213.00057983398438,583,g1/csv/221125/reach_jump_R_003__A079.csv
height_climbing_box_root_translate_rom,height,climbing box,root_translate_rom,-0.46119933669781304,extreme,high,A069,162.0,74.75308990478516,74.75308990478516,352,g1/csv/221118/come_down_50cm_box_R_002__A069.csv
height_climbing_box_root_translate_rom,height,climbing box,root_translate_rom,-0.46119933669781304,extreme,low,A358,194.0,61.35567092895508,61.35567092895508,875,g1/csv/230427/come_down_50cm_box_R_003__A358.csv
height_climbing_box_root_translate_rom,height,climbing box,root_translate_rom,-0.46119933669781304,gap,high,A065,153.0,102.37126159667969,102.37126159667969,452,g1/csv/221117/come_down_50cm_box_R_004__A065.csv
height_climbing_box_root_translate_rom,height,climbing box,root_translate_rom,-0.46119933669781304,gap,low,A119,181.0,50.452335357666016,50.452335357666016,301,g1/csv/230112/come_down_50cm_box_R_003__A119.csv
height_jogging_turning_root_translate_peak_vel,height,"jogging, turning",root_translate_peak_vel,-0.34276960198985046,extreme,high,A018,148.0,282.0054931640625,282.0054931640625,11675,g1/csv/220705/Turn_Start_Jog_0135_001__A018.csv
height_jogging_turning_root_translate_peak_vel,height,"jogging, turning",root_translate_peak_vel,-0.34276960198985046,extreme,low,A035,198.0,198.13128662109375,198.13128662109375,384,g1/csv/220721/turn_start_jog_135_003__A035.csv
height_jogging_turning_root_translate_peak_vel,height,"jogging, turning",root_translate_peak_vel,-0.34276960198985046,gap,high,A061,157.0,342.8782653808594,342.8782653808594,452,g1/csv/221115/turn_jog_270_006__A061.csv
height_jogging_turning_root_translate_peak_vel,height,"jogging, turning",root_translate_peak_vel,-0.34276960198985046,gap,low,A268,173.0,148.6989288330078,148.6989288330078,579,g1/csv/230313/turn_jog_270_R_002__A268.csv
height_jogging_ankle_rom,height,jogging,ankle_rom,-0.31042208289428097,extreme,high,A451,167.0,68.85233306884766,68.85233306884766,468,g1/csv/230907/jog_arc_cw_loop_R_very_fast_001__A451.csv
height_jogging_ankle_rom,height,jogging,ankle_rom,-0.31042208289428097,extreme,low,A454,175.0,44.504499435424805,44.504499435424805,468,g1/csv/230907/jog_arc_cw_loop_R_very_fast_001__A454.csv
height_jogging_ankle_rom,height,jogging,ankle_rom,-0.31042208289428097,gap,high,A048,166.0,70.70635604858398,70.70635604858398,838,g1/csv/221010/jog_arc_cw_start_002__A048.csv
height_jogging_ankle_rom,height,jogging,ankle_rom,-0.31042208289428097,gap,low,A094,168.0,0.9152171015739441,0.9152171015739441,526,g1/csv/230102/jog_arc_cw_loop_004__A094.csv
height_kneeling_elbow_rom,height,kneeling,elbow_rom,0.295785211216647,extreme,high,A055,188.0,75.71466445922852,75.71466445922852,543,g1/csv/221012/sit_on_chair_stop_R_003__A055.csv
height_kneeling_elbow_rom,height,kneeling,elbow_rom,0.295785211216647,extreme,low,A064,155.0,54.9864501953125,54.9864501953125,358,g1/csv/221116/sit_on_chair_stop_R_001__A064.csv
height_kneeling_elbow_rom,height,kneeling,elbow_rom,0.295785211216647,gap,high,A032,166.0,111.43338012695312,111.43338012695312,957,g1/csv/220720/kneeling_start_004__A032.csv
height_kneeling_elbow_rom,height,kneeling,elbow_rom,0.295785211216647,gap,low,A029,155.0,9.4681396484375,9.4681396484375,668,g1/csv/220720/kneeling_start_002__A029.csv
height_gesture_dancing_hip_mean_vel,height,"gesture, dancing",hip_mean_vel,0.26079222420693854,extreme,high,A100,188.0,166.0462417602539,166.0462417602539,367,g1/csv/230103/krakowiak_R_004__A100.csv
height_gesture_dancing_hip_mean_vel,height,"gesture, dancing",hip_mean_vel,0.26079222420693854,extreme,low,A345,168.0,95.51749801635742,95.51749801635742,762,g1/csv/230424/krakowiak_R_003__A345.csv
height_gesture_dancing_hip_mean_vel,height,"gesture, dancing",hip_mean_vel,0.26079222420693854,gap,high,A236,182.0,220.57275390625,220.57275390625,558,g1/csv/230302/lasso_dance_R_002__A236.csv
height_gesture_dancing_hip_mean_vel,height,"gesture, dancing",hip_mean_vel,0.26079222420693854,gap,low,A261,168.0,82.7298469543457,82.7298469543457,977,g1/csv/230309/lasso_dance_R_002__A261.csv
height_jumping_turning_ankle_peak_vel,height,"jumping, turning",ankle_peak_vel,-0.24501991323351582,extreme,high,A049,156.0,477.8253173828125,477.8253173828125,377,g1/csv/221011/turn_jump_270_001__A049.csv
height_jumping_turning_ankle_peak_vel,height,"jumping, turning",ankle_peak_vel,-0.24501991323351582,extreme,low,A060,192.0,325.68760681152344,325.68760681152344,517,g1/csv/221115/turn_jump_270_001__A060.csv
height_jumping_turning_ankle_peak_vel,height,"jumping, turning",ankle_peak_vel,-0.24501991323351582,gap,high,A018,148.0,1487.5177001953125,1487.5177001953125,4352,g1/csv/220705/Jump_Left_002__A018.csv
height_jumping_turning_ankle_peak_vel,height,"jumping, turning",ankle_peak_vel,-0.24501991323351582,gap,low,A028,176.0,313.2677764892578,313.2677764892578,588,g1/csv/220714/jump_left_004__A028.csv
height_walking_root_translate_mean_vel,height,walking,root_translate_mean_vel,-0.22765596399457944,extreme,high,A449,167.0,148.42715454101562,148.42715454101562,380,g1/csv/230906/walk_ff_stop_360_R_very_fast_002__A449.csv
height_walking_root_translate_mean_vel,height,walking,root_translate_mean_vel,-0.22765596399457944,extreme,low,A448,175.0,77.24356842041016,77.24356842041016,611,g1/csv/230906/walk_ff_stop_360_R_very_fast_002__A448.csv
height_walking_root_translate_mean_vel,height,walking,root_translate_mean_vel,-0.22765596399457944,gap,high,A064,155.0,124.1992416381836,124.1992416381836,458,g1/csv/221116/walk_ff_loop_180_R_005__A064.csv
