row_id,attribute,task,feature,r,side,actor_uid,attr_value,per_actor_F,per_clip_F,n_frames,g1_csv
height_walking_turning_root_translate_rom,height,"walking, turning",root_translate_rom,-0.3000413609434222,high,A036,150.0,387.6589533487956,396.0374450683594,547,g1/csv/220721/turn_start_walk_135_001__A036.csv
height_walking_turning_root_translate_rom,height,"walking, turning",root_translate_rom,-0.3000413609434222,low,A060,192.0,299.08765496148004,296.5909118652344,589,g1/csv/221115/turn_walk_270_006__A060.csv
height_walking_root_translate_rom,height,walking,root_translate_rom,-0.28214584211278,high,A058,157.0,399.6200399247427,399.214111328125,664,g1/csv/221115/walk_ff_start_225_001__A058.csv
height_walking_root_translate_rom,height,walking,root_translate_rom,-0.28214584211278,low,A055,188.0,328.45140838623047,334.56005859375,498,g1/csv/221012/walk_hands_on_back_loop_003__A055.csv
height_jogging_root_translate_rom,height,jogging,root_translate_rom,-0.28104744303453466,high,A021,155.0,469.26678278190747,468.7100524902344,798,g1/csv/220713/jog_sideway_090_start_001__A021.csv
height_jogging_root_translate_rom,height,jogging,root_translate_rom,-0.28104744303453466,low,A152,188.0,396.2701144748264,396.5460205078125,289,g1/csv/230126/jog_ff_loop_180_R_002__A152.csv
height_sitting_root_translate_rom,height,sitting,root_translate_rom,-0.16254522492685813,high,A029,155.0,61.51167788847472,62.48999786376953,765,g1/csv/220720/sit_on_heels_start_003__A029.csv
height_sitting_root_translate_rom,height,sitting,root_translate_rom,-0.16254522492685813,low,A031,192.0,53.717182907774,60.25067901611328,608,g1/csv/220720/sit_on_heels_start_001__A031.csv
height_dancing_root_translate_rom,height,dancing,root_translate_rom,-0.14616749179993954,high,A325,163.0,227.0247570292155,192.47320556640625,751,g1/csv/230414/dance_vouge_shake_it_babe_180_R_002__A325.csv
height_dancing_root_translate_rom,height,dancing,root_translate_rom,-0.14616749179993954,low,A067,190.0,15.59261549843682,13.927353858947754,1949,g1/csv/221117/dancing_routine_2_003__A067.csv
height_turning_root_translate_rom,height,turning,root_translate_rom,0.14167270838925938,high,A123,188.0,147.22311226526895,43.95730209350586,925,g1/csv/230118/neutral_idle_turn_360_004__A123.csv
height_turning_root_translate_rom,height,turning,root_translate_rom,0.14167270838925938,low,A484,167.0,7.218010164797306,7.390113353729248,994,g1/csv/231019/mid_big_valve_ccw_002__A484.csv
height_exercising_root_translate_rom,height,exercising,root_translate_rom,0.13920802537845287,high,A035,198.0,1.8343530694643655,2.0472190380096436,1165,g1/csv/220721/idle_loop_003__A035.csv
height_exercising_root_translate_rom,height,exercising,root_translate_rom,0.13920802537845287,low,A065,153.0,1.396516548262702,1.474947452545166,1145,g1/csv/221117/idle_loop_002__A065.csv
height_gesture_dancing_root_translate_rom,height,"gesture, dancing",root_translate_rom,0.13289327388567143,high,A348,193.0,408.4471969604492,405.89544677734375,513,g1/csv/230424/krakowiak_R_005__A348.csv
height_gesture_dancing_root_translate_rom,height,"gesture, dancing",root_translate_rom,0.13289327388567143,low,A351,173.0,5.897973378499349,6.2684712409973145,584,g1/csv/230425/kozak_dance_003__A351.csv
gender_jogging_turning_ankle_rom,gender,"jogging, turning",ankle_rom,-0.3926848772996618,high,A024,0.0,68.37057145436604,68.43933868408203,508,g1/csv/220713/turn_start_jog_0135_002__A024.csv
gender_jogging_turning_ankle_rom,gender,"jogging, turning",ankle_rom,-0.3926848772996618,low,A412,1.0,53.33889643351237,52.25654220581055,508,g1/csv/230530/jog_avoid_bump_spin_270_R_002__A412.csv
