[load] data\fixed_feature_instances_multi.json  (720 instances)
  [gender_shoulder_rom_gesture_dancing_A353] side=high  F_csv=17.90  F_check=17.90
  [gender_shoulder_rom_gesture_dancing_A352] side=high  F_csv=25.62  F_check=25.62
  [gender_shoulder_rom_gesture_dancing_A407] side=high  F_csv=26.79  F_check=26.79
  [gender_shoulder_rom_dancing_A466] side=low  F_csv=413.45  F_check=413.45
  [gender_shoulder_rom_dancing_A464] side=low  F_csv=392.51  F_check=392.51
  [gender_shoulder_rom_dancing_A320] side=low  F_csv=385.85  F_check=385.85
  [gender_shoulder_rom_dancing_A316] side=low  F_csv=380.48  F_check=380.48
  [gender_shoulder_rom_dancing_A309] side=high  F_csv=10.34  F_check=10.34
  [gender_shoulder_rom_dancing_A306] side=high  F_csv=13.01  F_check=13.01
  [gender_shoulder_rom_dancing_A467] side=high  F_csv=18.15  F_check=18.15
  [gender_shoulder_rom_dancing_A055] side=high  F_csv=18.35  F_check=18.35
  [gender_shoulder_rom_jogging_turning_A186] side=low  F_csv=272.58  F_check=272.58
  [gender_shoulder_rom_jogging_turning_A188] side=low  F_csv=257.38  F_check=257.38
  [gender_shoulder_rom_jogging_turning_A167] side=low  F_csv=251.13  F_check=251.13
  [gender_shoulder_rom_jogging_turning_A166] side=low  F_csv=245.16  F_check=245.16
  [gender_shoulder_rom_jogging_turning_A463] side=high  F_csv=34.42  F_check=34.42
  [gender_shoulder_rom_jogging_turning_A462] side=high  F_csv=41.93  F_check=41.93
  [gender_shoulder_rom_jogging_turning_A033] side=high  F_csv=43.35  F_check=43.35
  [gender_shoulder_rom_jogging_turning_A051] side=high  F_csv=44.74  F_check=44.74
  [gender_shoulder_rom_walking_turning_A461] side=low  F_csv=198.16  F_check=198.16
  [gender_shoulder_rom_walking_turning_A517] side=low  F_csv=155.75  F_check=155.75
  [gender_shoulder_rom_walking_turning_A460] side=low  F_csv=153.91  F_check=153.91
  [gender_shoulder_rom_walking_turning_A516] side=low  F_csv=136.48  F_check=136.48
  [gender_shoulder_rom_walking_turning_A032] side=high  F_csv=7.94  F_check=7.94
  [gender_shoulder_rom_walking_turning_A144] side=high  F_csv=10.16  F_check=10.16
  [gender_shoulder_rom_walking_turning_A463] side=high  F_csv=11.31  F_check=11.31
  [gender_shoulder_rom_walking_turning_A202] side=high  F_csv=11.36  F_check=11.36
  [gender_shoulder_mean_vel_jogging_A454] side=low  F_csv=567.24  F_check=567.24
  [gender_shoulder_mean_vel_jogging_A451] side=low  F_csv=445.40  F_check=445.40
  [gender_shoulder_mean_vel_jogging_A359] side=low  F_csv=429.44  F_check=429.44
  [gender_shoulder_mean_vel_jogging_A452] side=low  F_csv=425.54  F_check=425.54
  [gender_shoulder_mean_vel_jogging_A096] side=high  F_csv=1.24  F_check=1.24
  [gender_shoulder_mean_vel_jogging_A093] side=high  F_csv=1.42  F_check=1.42
  [gender_shoulder_mean_vel_jogging_A063] side=high  F_csv=1.50  F_check=1.50
  [gender_shoulder_mean_vel_jogging_A072] side=high  F_csv=2.72  F_check=2.72
  [gender_shoulder_mean_vel_jogging_turning_A029] side=low  F_csv=290.97  F_check=290.97
  [gender_shoulder_mean_vel_jogging_turning_A094] side=low  F_csv=290.20  F_check=290.20
  [gender_shoulder_mean_vel_jogging_turning_A166] side=low  F_csv=279.26  F_check=279.26
  [gender_shoulder_mean_vel_jogging_turning_A167] side=low  F_csv=268.87  F_check=268.87
  [gender_shoulder_mean_vel_jogging_turning_A025] side=high  F_csv=41.14  F_check=41.14
  [gender_shoulder_mean_vel_jogging_turning_A044] side=high  F_csv=54.03  F_check=54.03
  [gender_shoulder_mean_vel_jogging_turning_A039] side=high  F_csv=55.62  F_check=55.62
  [gender_shoulder_mean_vel_jogging_turning_A051] side=high  F_csv=60.24  F_check=60.24
  [gender_shoulder_mean_vel_climbing_box_A252] side=low  F_csv=184.58  F_check=184.58
  [gender_shoulder_mean_vel_climbing_box_A469] side=low  F_csv=144.83  F_check=144.83
  [gender_shoulder_mean_vel_climbing_box_A281] side=low  F_csv=143.16  F_check=143.16
  [gender_shoulder_mean_vel_climbing_box_A315] side=low  F_csv=140.10  F_check=140.10
  [gender_shoulder_mean_vel_climbing_box_A052] side=high  F_csv=2.67  F_check=2.67
  [gender_shoulder_mean_vel_climbing_box_A200] side=high  F_csv=9.48  F_check=9.48
  [gender_shoulder_mean_vel_climbing_box_A189] side=high  F_csv=12.47  F_check=12.47
  [gender_shoulder_mean_vel_climbing_box_A253] side=high  F_csv=13.04  F_check=13.04
  [gender_shoulder_mean_vel_walking_turning_A517] side=low  F_csv=288.52  F_check=288.52
  [gender_shoulder_mean_vel_walking_turning_A516] side=low  F_csv=237.46  F_check=237.46
  [gender_shoulder_mean_vel_walking_turning_A029] side=low  F_csv=140.32  F_check=140.32
  [gender_shoulder_mean_vel_walking_turning_A461] side=low  F_csv=127.60  F_check=127.60
  [gender_shoulder_mean_vel_walking_turning_A142] side=high  F_csv=10.07  F_check=10.07
  [gender_shoulder_mean_vel_walking_turning_A032] side=high  F_csv=11.19  F_check=11.19
  [gender_shoulder_mean_vel_walking_turning_A163] side=high  F_csv=11.36  F_check=11.36
  [gender_shoulder_mean_vel_walking_turning_A144] side=high  F_csv=12.96  F_check=12.96

[out] wrote C:\Users\sihat\Downloads\invert\feature-analysis-animation\data\feature_matrix_config_instances.json  (720 rows)
[out] CSVs under C:\Users\sihat\Downloads\invert\feature-analysis-animation\data\feature_matrix_instances  (720 files)

Next: python generate_smpl_matrix.py --config C:\Users\sihat\Downloads\invert\feature-analysis-animation\data\feature_matrix_config_instances.json
