[load] data\fixed_feature_instances_multi.json  (720 instances)
  [age_waist_mean_vel_dancing_A321] side=low  F_csv=178.94  F_check=178.94
  [age_waist_mean_vel_dancing_A322] side=low  F_csv=177.15  F_check=177.15
  [age_waist_mean_vel_dancing_A311] side=low  F_csv=156.37  F_check=156.37
  [age_waist_mean_vel_dancing_A307] side=high  F_csv=5.55  F_check=5.55
  [age_waist_mean_vel_dancing_A056] side=high  F_csv=10.88  F_check=10.88
  [age_waist_mean_vel_dancing_A044] side=high  F_csv=11.08  F_check=11.08
  [age_waist_mean_vel_dancing_A041] side=high  F_csv=11.22  F_check=11.22
  [age_waist_mean_vel_gesture_A143] side=low  F_csv=111.92  F_check=111.92
  [age_waist_mean_vel_gesture_A185] side=low  F_csv=106.02  F_check=106.02
  [age_waist_mean_vel_gesture_A186] side=low  F_csv=104.38  F_check=104.38
  [age_waist_mean_vel_gesture_A236] side=low  F_csv=101.16  F_check=101.16
  [age_waist_mean_vel_gesture_A039] side=high  F_csv=0.89  F_check=0.89
  [age_waist_mean_vel_gesture_A042] side=high  F_csv=1.10  F_check=1.10
  [age_waist_mean_vel_gesture_A038] side=high  F_csv=1.21  F_check=1.21
  [age_waist_mean_vel_gesture_A259] side=high  F_csv=1.29  F_check=1.29
  [age_ankle_rom_jogging_turning_A018] side=low  F_csv=82.65  F_check=82.65
  [age_ankle_rom_jogging_turning_A029] side=low  F_csv=81.59  F_check=81.59
  [age_ankle_rom_jogging_turning_A165] side=low  F_csv=78.32  F_check=78.32
  [age_ankle_rom_jogging_turning_A414] side=low  F_csv=78.19  F_check=78.19
  [age_ankle_rom_jogging_turning_A038] side=high  F_csv=24.82  F_check=24.82
  [age_ankle_rom_jogging_turning_A268] side=high  F_csv=34.64  F_check=34.64
  [age_ankle_rom_jogging_turning_A055] side=high  F_csv=36.55  F_check=36.55
  [age_ankle_rom_jogging_turning_A266] side=high  F_csv=37.76  F_check=37.76
  [age_ankle_rom_gesture_dancing_A099] side=low  F_csv=84.89  F_check=84.89
  [age_ankle_rom_gesture_dancing_A098] side=low  F_csv=82.77  F_check=82.77
  [age_ankle_rom_gesture_dancing_A101] side=low  F_csv=81.75  F_check=81.75
  [age_ankle_rom_gesture_dancing_A409] side=low  F_csv=81.53  F_check=81.53
  [age_ankle_rom_gesture_dancing_A438] side=high  F_csv=1.50  F_check=1.50
  [age_ankle_rom_gesture_dancing_A144] side=high  F_csv=1.64  F_check=1.64
  [age_ankle_rom_gesture_dancing_A188] side=high  F_csv=2.08  F_check=2.08
  [age_ankle_rom_gesture_dancing_A187] side=high  F_csv=2.14  F_check=2.14
  [age_ankle_rom_turning_A145] side=low  F_csv=62.90  F_check=62.90
  [age_ankle_rom_turning_A128] side=low  F_csv=56.92  F_check=56.92
  [age_ankle_rom_turning_A245] side=low  F_csv=53.05  F_check=53.05
  [age_ankle_rom_turning_A126] side=low  F_csv=52.79  F_check=52.79
